main_category,sub_category,url
소설,나라별 소설,https://book.naver.com/category/index.naver?cate_code=100010&tab=top100&list_type=list&sort_type=salecount
소설,고전/문학,https://book.naver.com/category/index.naver?cate_code=100020&tab=top100&list_type=list&sort_type=salecount
소설,장르소설,https://book.naver.com/category/index.naver?cate_code=100030&tab=top100&list_type=list&sort_type=salecount
소설,테마소설,https://book.naver.com/category/index.naver?cate_code=100040&tab=top100&list_type=list&sort_type=salecount
시/에세이,한국시,https://book.naver.com/category/index.naver?cate_code=110010&tab=top100&list_type=list&sort_type=salecount
시/에세이,외국시,https://book.naver.com/category/index.naver?cate_code=110020&tab=top100&list_type=list&sort_type=salecount
시/에세이,그림/포토 에세이,https://book.naver.com/category/index.naver?cate_code=110080&tab=top100&list_type=list&sort_type=salecount
시/에세이,독서 에세이,https://book.naver.com/category/index.naver?cate_code=110060&tab=top100&list_type=list&sort_type=salecount
시/에세이,명상 에세이,https://book.naver.com/category/index.naver?cate_code=110070&tab=top100&list_type=list&sort_type=salecount
시/에세이,성공 에세이,https://book.naver.com/category/index.naver?cate_code=110050&tab=top100&list_type=list&sort_type=salecount
시/에세이,여행 에세이,https://book.naver.com/category/index.naver?cate_code=110040&tab=top100&list_type=list&sort_type=salecount
시/에세이,연애/사랑 에세이,https://book.naver.com/category/index.naver?cate_code=110090&tab=top100&list_type=list&sort_type=salecount
시/에세이,인물 에세이,https://book.naver.com/category/index.naver?cate_code=110030&tab=top100&list_type=list&sort_type=salecount
시/에세이,삶의 지혜/명언,https://book.naver.com/category/index.naver?cate_code=110100&tab=top100&list_type=list&sort_type=salecount
경제/경영,경제,https://book.naver.com/category/index.naver?cate_code=160010&tab=top100&list_type=list&sort_type=salecount
경제/경영,경영,https://book.naver.com/category/index.naver?cate_code=160020&tab=top100&list_type=list&sort_type=salecount
경제/경영,마케팅/세일즈,https://book.naver.com/category/index.naver?cate_code=160030&tab=top100&list_type=list&sort_type=salecount
경제/경영,재테크/투자,https://book.naver.com/category/index.naver?cate_code=160040&tab=top100&list_type=list&sort_type=salecount
경제/경영,창업/취업,https://book.naver.com/category/index.naver?cate_code=160050&tab=top100&list_type=list&sort_type=salecount
자기계발,대화/협상,https://book.naver.com/category/index.naver?cate_code=170050&tab=top100&list_type=list&sort_type=salecount
자기계발,성공/처세,https://book.naver.com/category/index.naver?cate_code=170010&tab=top100&list_type=list&sort_type=salecount
자기계발,시간관리,https://book.naver.com/category/index.naver?cate_code=170020&tab=top100&list_type=list&sort_type=salecount
자기계발,인간관계,https://book.naver.com/category/index.naver?cate_code=170040&tab=top100&list_type=list&sort_type=salecount
자기계발,자기능력계발,https://book.naver.com/category/index.naver?cate_code=170030&tab=top100&list_type=list&sort_type=salecount
인문,인문일반,https://book.naver.com/category/index.naver?cate_code=120010&tab=top100&list_type=list&sort_type=salecount
인문,심리,https://book.naver.com/category/index.naver?cate_code=120020&tab=top100&list_type=list&sort_type=salecount
인문,교육학,https://book.naver.com/category/index.naver?cate_code=120030&tab=top100&list_type=list&sort_type=salecount
인문,철학,https://book.naver.com/category/index.naver?cate_code=120040&tab=top100&list_type=list&sort_type=salecount
인문,문학론,https://book.naver.com/category/index.naver?cate_code=120050&tab=top100&list_type=list&sort_type=salecount
인문,언어학/기호학,https://book.naver.com/category/index.naver?cate_code=120060&tab=top100&list_type=list&sort_type=salecount
인문,종교학,https://book.naver.com/category/index.naver?cate_code=120070&tab=top100&list_type=list&sort_type=salecount
인문,신화,https://book.naver.com/category/index.naver?cate_code=120080&tab=top100&list_type=list&sort_type=salecount
역사/문화,역사/문화일반,https://book.naver.com/category/index.naver?cate_code=190010&tab=top100&list_type=list&sort_type=salecount
역사/문화,세계사,https://book.naver.com/category/index.naver?cate_code=190020&tab=top100&list_type=list&sort_type=salecount
역사/문화,서양사,https://book.naver.com/category/index.naver?cate_code=190030&tab=top100&list_type=list&sort_type=salecount
역사/문화,동양사,https://book.naver.com/category/index.naver?cate_code=190040&tab=top100&list_type=list&sort_type=salecount
역사/문화,한국사,https://book.naver.com/category/index.naver?cate_code=190050&tab=top100&list_type=list&sort_type=salecount
사회,정치/외교,https://book.naver.com/category/index.naver?cate_code=180010&tab=top100&list_type=list&sort_type=salecount
사회,행정/정책,https://book.naver.com/category/index.naver?cate_code=180020&tab=top100&list_type=list&sort_type=salecount
사회,국방/군사/경찰,https://book.naver.com/category/index.naver?cate_code=180030&tab=top100&list_type=list&sort_type=salecount
사회,법,https://book.naver.com/category/index.naver?cate_code=180040&tab=top100&list_type=list&sort_type=salecount
사회,사회학,https://book.naver.com/category/index.naver?cate_code=180050&tab=top100&list_type=list&sort_type=salecount
사회,사회복지,https://book.naver.com/category/index.naver?cate_code=180060&tab=top100&list_type=list&sort_type=salecount
사회,언론/신문/방송,https://book.naver.com/category/index.naver?cate_code=180070&tab=top100&list_type=list&sort_type=salecount
과학/공학,공학일반/산업공학,https://book.naver.com/category/index.naver?cate_code=250090&tab=top100&list_type=list&sort_type=salecount
과학/공학,과학기본서,https://book.naver.com/category/index.naver?cate_code=250020&tab=top100&list_type=list&sort_type=salecount
과학/공학,기계/전기/전자,https://book.naver.com/category/index.naver?cate_code=250100&tab=top100&list_type=list&sort_type=salecount
과학/공학,농수산/축산,https://book.naver.com/category/index.naver?cate_code=250110&tab=top100&list_type=list&sort_type=salecount
과학/공학,도시/토목/건설,https://book.naver.com/category/index.naver?cate_code=250080&tab=top100&list_type=list&sort_type=salecount
과학/공학,물리학,https://book.naver.com/category/index.naver?cate_code=250040&tab=top100&list_type=list&sort_type=salecount
과학/공학,생물학,https://book.naver.com/category/index.naver?cate_code=250060&tab=top100&list_type=list&sort_type=salecount
과학/공학,수학,https://book.naver.com/category/index.naver?cate_code=250030&tab=top100&list_type=list&sort_type=salecount
과학/공학,쉽게 읽는 과학,https://book.naver.com/category/index.naver?cate_code=250010&tab=top100&list_type=list&sort_type=salecount
과학/공학,의학/식품/생활과학,https://book.naver.com/category/index.naver?cate_code=250120&tab=top100&list_type=list&sort_type=salecount
과학/공학,천문/지구과학,https://book.naver.com/category/index.naver?cate_code=250070&tab=top100&list_type=list&sort_type=salecount
과학/공학,화학,https://book.naver.com/category/index.naver?cate_code=250050&tab=top100&list_type=list&sort_type=salecount
예술/대중문화,예술일반,https://book.naver.com/category/index.naver?cate_code=210010&tab=top100&list_type=list&sort_type=salecount
예술/대중문화,미술,https://book.naver.com/category/index.naver?cate_code=210020&tab=top100&list_type=list&sort_type=salecount
예술/대중문화,음악,https://book.naver.com/category/index.naver?cate_code=210030&tab=top100&list_type=list&sort_type=salecount
예술/대중문화,건축,https://book.naver.com/category/index.naver?cate_code=210040&tab=top100&list_type=list&sort_type=salecount
예술/대중문화,만화/애니메이션,https://book.naver.com/category/index.naver?cate_code=210050&tab=top100&list_type=list&sort_type=salecount
예술/대중문화,사진,https://book.naver.com/category/index.naver?cate_code=210060&tab=top100&list_type=list&sort_type=salecount
예술/대중문화,연극/영화,https://book.naver.com/category/index.naver?cate_code=210070&tab=top100&list_type=list&sort_type=salecount
예술/대중문화,TV/대중문화,https://book.naver.com/category/index.naver?cate_code=210080&tab=top100&list_type=list&sort_type=salecount
종교,기독교(개신교),https://book.naver.com/category/index.naver?cate_code=200020&tab=top100&list_type=list&sort_type=salecount
종교,가톨릭,https://book.naver.com/category/index.naver?cate_code=200030&tab=top100&list_type=list&sort_type=salecount
종교,불교,https://book.naver.com/category/index.naver?cate_code=200040&tab=top100&list_type=list&sort_type=salecount
종교,종교일반,https://book.naver.com/category/index.naver?cate_code=200010&tab=top100&list_type=list&sort_type=salecount
종교,기타,https://book.naver.com/category/index.naver?cate_code=200050&tab=top100&list_type=list&sort_type=salecount
유아,0~3세,https://book.naver.com/category/index.naver?cate_code=310010&tab=top100&list_type=list&sort_type=salecount
유아,4~7세,https://book.naver.com/category/index.naver?cate_code=310020&tab=top100&list_type=list&sort_type=salecount
유아,유아놀이책,https://book.naver.com/category/index.naver?cate_code=310030&tab=top100&list_type=list&sort_type=salecount
유아,유아그림책,https://book.naver.com/category/index.naver?cate_code=310040&tab=top100&list_type=list&sort_type=salecount
유아,유아학습,https://book.naver.com/category/index.naver?cate_code=310050&tab=top100&list_type=list&sort_type=salecount
어린이,초등1~2학년,https://book.naver.com/category/index.naver?cate_code=320010&tab=top100&list_type=list&sort_type=salecount
어린이,초등3~4학년,https://book.naver.com/category/index.naver?cate_code=320020&tab=top100&list_type=list&sort_type=salecount
어린이,초등5~6학년,https://book.naver.com/category/index.naver?cate_code=320030&tab=top100&list_type=list&sort_type=salecount
어린이,어린이(공통),https://book.naver.com/category/index.naver?cate_code=320040&tab=top100&list_type=list&sort_type=salecount
어린이,어린이영어,https://book.naver.com/category/index.naver?cate_code=320050&tab=top100&list_type=list&sort_type=salecount
가정/생활/요리,결혼/가족,https://book.naver.com/category/index.naver?cate_code=130010&tab=top100&list_type=list&sort_type=salecount
가정/생활/요리,임신/출산/육아,https://book.naver.com/category/index.naver?cate_code=130020&tab=top100&list_type=list&sort_type=salecount
가정/생활/요리,자녀교육,https://book.naver.com/category/index.naver?cate_code=130030&tab=top100&list_type=list&sort_type=salecount
가정/생활/요리,집/살림,https://book.naver.com/category/index.naver?cate_code=130040&tab=top100&list_type=list&sort_type=salecount
가정/생활/요리,요리,https://book.naver.com/category/index.naver?cate_code=130050&tab=top100&list_type=list&sort_type=salecount
건강,건강정보/에세이,https://book.naver.com/category/index.naver?cate_code=140010&tab=top100&list_type=list&sort_type=salecount
건강,다이어트/미용,https://book.naver.com/category/index.naver?cate_code=140030&tab=top100&list_type=list&sort_type=salecount
건강,요가/헬스,https://book.naver.com/category/index.naver?cate_code=140040&tab=top100&list_type=list&sort_type=salecount
건강,질병치료/예방,https://book.naver.com/category/index.naver?cate_code=140020&tab=top100&list_type=list&sort_type=salecount
건강,건강운동 기타,https://book.naver.com/category/index.naver?cate_code=140050&tab=top100&list_type=list&sort_type=salecount
취미/레저,꽃꽂이,https://book.naver.com/category/index.naver?cate_code=150050&tab=top100&list_type=list&sort_type=salecount
취미/레저,뜨개질/퀼트/십자수,https://book.naver.com/category/index.naver?cate_code=150010&tab=top100&list_type=list&sort_type=salecount
취미/레저,비즈/구슬공예,https://book.naver.com/category/index.naver?cate_code=150020&tab=top100&list_type=list&sort_type=salecount
취미/레저,선물포장/리본공예,https://book.naver.com/category/index.naver?cate_code=150030&tab=top100&list_type=list&sort_type=salecount
취미/레저,옷만들기,https://book.naver.com/category/index.naver?cate_code=150040&tab=top100&list_type=list&sort_type=salecount
취미/레저,가구/DIY,https://book.naver.com/category/index.naver?cate_code=150110&tab=top100&list_type=list&sort_type=salecount
취미/레저,바둑/장기,https://book.naver.com/category/index.naver?cate_code=150070&tab=top100&list_type=list&sort_type=salecount
취미/레저,사진/비디오,https://book.naver.com/category/index.naver?cate_code=150090&tab=top100&list_type=list&sort_type=salecount
